benchmark,ifeval,bbh,math,gpqa,musr,mmlu_pro
RombosBeagle-v2beta-MGS-3,51.567618363719376,58.117898971791085,49.92447129909365,17.337807606263986,24.460416666666664,54.52866430260048
TheBeagle-v2beta-32B-MGS,51.8074265171966,58.0279762011676,49.47129909365559,17.67337807606264,24.260416666666668,54.61177600472813
lambda-qwen2.5-14b-dpo-te,82.31215397367873,48.45443982860533,54.607250755287005,14.988814317673372,12.587239583333336,42.75450650118203
tempesthenno-nuslerp-001,79.2646843708028,51.04491084341287,47.583081570996974,16.442953020134222,13.883333333333333,47.29794621749409
Qwen2.5-14B-1M-YOYO-V3,83.98327548681942,49.46606980733037,53.54984894259819,10.514541387024613,11.098958333333336,46.74386820330969
Josiefied-Qwen2.5-14B-Ins,82.91666112581285,48.05226992969286,54.229607250755286,12.304250559284116,13.15,44.64760638297872
NQLSG-Qwen2.5-14B-MegaFus.4,79.93413032974729,49.94686965422407,53.70090634441088,10.626398210290828,14.269531249999996,46.66075650118204
Q2.5-Veltha-14B,82.91666112581285,49.75243239928858,47.88519637462236,14.5413870246085,12.261718749999998,47.759677895981085
ECE-ILAB-Q1,78.64521691334548,53.70222770817057,35.57401812688822,18.232662192393736,18.805208333333333,50.05910165484633
Virtuoso-Small-v2,82.73181824226387,50.94799062781783,46.6012084592145,13.758389261744966,14.283333333333331,46.53147163120567
Qwen2.5-14B-YOYO-V4-p1,82.03488964835526,50.24542053284919,53.32326283987915,12.751677852348994,11.728385416666669,44.6660756501182
Chocolatine-14B-Instruct-,70.39953988749849,54.84648579293099,56.19335347432024,12.192393736017896,12.291145833333331,48.60002955082743
